year,city,country,avg_temp
1935,Santiago,Chile,5.77
1936,Santiago,Chile,5.62
1937,Santiago,Chile,5.65
1938,Santiago,Chile,5.30
1939,Santiago,Chile,5.95
1940,Santiago,Chile,5.74
1941,Santiago,Chile,5.50
1942,Santiago,Chile,5.39
1943,Santiago,Chile,5.74
1944,Santiago,Chile,6.33
1945,Santiago,Chile,6.29
1946,Santiago,Chile,5.81
1947,Santiago,Chile,5.92
1948,Santiago,Chile,5.62
1949,Santiago,Chile,5.63
1950,Santiago,Chile,5.71
1951,Santiago,Chile,6.04
1952,Santiago,Chile,6.09
1953,Santiago,Chile,6.00
1954,Santiago,Chile,5.41
1955,Santiago,Chile,5.11
1956,Santiago,Chile,4.94
1957,Santiago,Chile,5.74
1958,Santiago,Chile,5.89
1959,Santiago,Chile,5.64
1960,Santiago,Chile,6.20
1961,Santiago,Chile,6.16
1962,Santiago,Chile,5.98
1963,Santiago,Chile,5.63
1964,Santiago,Chile,5.64
1965,Santiago,Chile,6.05
1966,Santiago,Chile,5.60
1967,Santiago,Chile,5.71
1968,Santiago,Chile,6.12
1969,Santiago,Chile,6.39
1970,Santiago,Chile,6.06
1971,Santiago,Chile,5.87
1972,Santiago,Chile,5.82
1973,Santiago,Chile,5.53
1974,Santiago,Chile,5.53
1975,Santiago,Chile,5.71
1976,Santiago,Chile,5.54
1977,Santiago,Chile,6.55
1978,Santiago,Chile,6.32
1979,Santiago,Chile,5.91
1980,Santiago,Chile,6.30
1981,Santiago,Chile,6.31
1982,Santiago,Chile,6.44
1983,Santiago,Chile,5.89
1984,Santiago,Chile,5.55
1985,Santiago,Chile,6.34
1986,Santiago,Chile,6.49
1987,Santiago,Chile,6.40
1988,Santiago,Chile,6.01
1989,Santiago,Chile,6.59
1990,Santiago,Chile,6.11
1991,Santiago,Chile,6.37
1992,Santiago,Chile,5.97
1993,Santiago,Chile,6.16
1994,Santiago,Chile,6.70
1995,Santiago,Chile,6.40
1996,Santiago,Chile,6.26
1997,Santiago,Chile,6.80
1998,Santiago,Chile,6.28
1999,Santiago,Chile,5.93
2000,Santiago,Chile,5.95
2001,Santiago,Chile,6.41
2002,Santiago,Chile,6.25
2003,Santiago,Chile,6.77
2004,Santiago,Chile,6.32
2005,Santiago,Chile,6.22
2006,Santiago,Chile,6.84
2007,Santiago,Chile,5.51
2008,Santiago,Chile,6.57
2009,Santiago,Chile,6.70
2010,Santiago,Chile,6.13
2011,Santiago,Chile,6.27
2012,Santiago,Chile,6.82
2013,Santiago,Chile,5.94
